CHROMOSOME	START_POS	END_POS	STRAND	GENE	OVERLAP
chr1	11873	14409	+	DDX11L1	Y
chr1	14361	29370	-	WASH7P	Y
chr1	17368	17436	-	MIR6859-2	Y
chr1	17368	17436	-	MIR6859-3	Y
chr1	17368	17436	-	MIR6859-1	Y
chr1	17368	17436	-	MIR6859-4	Y
chr1	30365	30503	+	MIR1302-10	Y
chr1	30365	30503	+	MIR1302-2	Y
chr1	30365	30503	+	MIR1302-11	Y
chr1	30365	30503	+	MIR1302-9	Y
chr1	34610	36081	-	FAM138A	Y
chr1	34610	36081	-	FAM138F	Y
chr1	69090	70008	+	OR4F5	N
chr1	134772	140566	-	LOC729737	N
chr1	323891	328581	+	LOC100132287	Y
chr1	323891	328581	+	LOC100132062	Y
chr1	323891	665731	+	LOC100133331	Y
chr1	367658	368597	+	OR4F29	Y
chr1	367658	368597	+	OR4F3	Y
chr1	367658	368597	+	OR4F16	Y
chr1	562759	564389	-	LOC101928626	Y
chr1	567704	567793	-	MIR6723	Y
chr1	700244	714068	-	LOC100288069	N
chr1	752750	755214	+	FAM87B	N
chr1	761585	762902	-	LINC00115	N
chr1	762970	794826	+	LINC01128	N
chr1	803450	812182	-	FAM41C	N
chr1	852197	855072	-	LOC100130417	N
chr1	861120	879961	+	SAMD11	Y
chr1	879582	894679	-	NOC2L	Y
chr1	895966	901099	+	KLHL17	N
chr1	901876	910484	+	PLEKHN1	N
chr1	910578	917497	-	PERM1	N
chr1	934341	935552	-	HES4	N
chr1	948846	949919	+	ISG15	N
chr1	955502	991499	+	AGRN	N
chr1	1007125	1009687	-	RNF223	N
chr1	1017197	1051736	-	C1orf159	N
chr1	1072396	1079434	+	LINC01342	N
chr1	1102483	1102578	+	MIR200B	N
chr1	1103242	1103332	+	MIR200A	N
chr1	1104384	1104467	+	MIR429	N
chr1	1109285	1133313	+	TTLL10	N
chr1	1138887	1142089	-	TNFRSF18	N
chr1	1146705	1149548	-	TNFRSF4	N
chr1	1152287	1167447	-	SDF4	N
chr1	1167628	1170420	+	B3GALT6	N
chr1	1177825	1182102	-	FAM132A	N
chr1	1189291	1209234	-	UBE2J2	N
chr1	1215815	1227409	+	SCNN1D	N
chr1	1227763	1243269	-	ACAP3	Y
chr1	1231489	1231550	-	MIR6726	Y
chr1	1243993	1247057	+	PUSL1	Y
chr1	1246964	1260067	-	CPSF3L	Y
chr1	1247881	1247946	-	MIR6727	Y
chr1	1260142	1264276	+	CPTP	N
chr1	1266725	1270700	+	TAS1R3	Y
chr1	1270657	1284492	-	DVL1	Y
chr1	1275029	1275088	-	MIR6808	Y
chr1	1288068	1298921	-	MXRA8	N
chr1	1309109	1310818	-	AURKAIP1	N
chr1	1321090	1334718	-	CCNL2	N
chr1	1334909	1337426	+	LOC148413	Y
chr1	1337275	1342693	-	MRPL20	Y
chr1	1353799	1356824	-	ANKRD65	N
chr1	1361507	1363167	+	TMEM88B	N
chr1	1365536	1369953	-	LOC102724312	N
chr1	1370902	1378262	+	VWA1	N
chr1	1385068	1405538	+	ATAD3C	N
chr1	1407134	1431584	+	ATAD3B	N
chr1	1447522	1470067	+	ATAD3A	N
chr1	1470157	1475740	-	TMEM240	N
chr1	1477052	1510262	-	SSU72	N
chr1	1533387	1535476	-	FNDC10	N
chr1	1550794	1565990	+	MIB2	N
chr1	1567559	1570030	+	MMP23B	Y
chr1	1568158	1570027	+	MMP23A	Y
chr1	1570602	1655859	-	CDK11B	Y
chr1	1592938	1624243	-	SLC35E2B	Y
chr1	1633822	1656004	-	CDK11A	Y
chr1	1656276	1677438	-	SLC35E2	N
chr1	1682670	1711508	-	NADK	N
chr1	1716723	1822556	-	GNB1	N
chr1	1846265	1848733	+	CALML6	N
chr1	1849028	1850740	-	TMEM52	N
chr1	1853389	1935276	-	CFAP74	N
chr1	1950767	1962192	+	GABRD	N
chr1	1980639	1981509	-	LOC105378591	N
chr1	1981908	2116834	+	PRKCZ	Y
chr1	2115898	2144159	-	FAAP20	Y
chr1	2160133	2241652	+	SKI	N
chr1	2252691	2323190	-	MORN1	Y
chr1	2281852	2284100	-	LOC100129534	Y
chr1	2323213	2336885	+	RER1	Y
chr1	2336240	2344010	-	PEX10	Y
